Label,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
J15,180.86,75.48,72.71,69.21,0.119,0.28303149665373734,0.3321311730158082,0.2852862161469115,0.3093495712737663
J16,165.89,71.1,69.62,66.42,0.119,0.2317044200381883,0.23770086414948496,0.3341355632208383,0.3434519544056056
J17,146.81,72.28,66.36,61.21,0.119,0.3275133423570122,0.3367796674025019,0.28303149665373734,0.30248813449308
J18,166.22,73.67,70.22,61.7,0.119,0.2476207076158112,0.30248813449308,0.28303149665373734,0.32292622136904703
J19,161.96,73.34,70.38,63.27,0.119,0.32549344345638115,0.3849407913279419,0.2852862161469115,0.28938473796850345
J20,170.34,70.95,74.13,61.47,0.119,0.2809750651283901,0.32549344345638115,0.31384429064922675,0.3434519544056056
K01,188.23,76.16,75.81,62.27,0.301,0.2007249137615957,0.26607861204191585,0.16867040988076756,0.24626631369646568
K02,185.09,76.98,76.75,62.44,0.301,0.13366513163699742,0.26860320494150386,0.15068950149241847,0.27113839494736464
K03,199.23,80.97,77.21,61.53,0.301,0.15387862204918318,0.2997177096997695,0.08359699271650783,0.17613842681871247
K04,226.88,79.98,82.87,68.89,0.301,0.17613842681871247,0.2762404667265006,0.1449077426899246,0.20423773202125192
K05,162.3,73.36,69.81,60.9,0.301,0.1906448141778043,0.31042074644596135,0.20166627778279236,0.30914813768900795
K06,189.26,79.77,72.48,67.73,0.301,0.1963022787467532,0.3172876622227005,0.09661716845116704,0.2224757607593134
K07,234.61,87.07,81.14,67.78,0.301,0.13366513163699742,0.2165594562661777,0.17906787117981807,0.2698481986485365
K08,225.24,80.28,81.05,64.23,0.301,0.13989114953404558,0.24497229902002443,0.10253958235603189,0.20744368751212236
K09,223.63,85.67,77.57,65.12,0.301,0.08252943390155078,0.17906787117981807,0.17487415153653166,0.23901450516280606
K10,248.93,75.61,82.37,73.51,0.301,0.22015709699601269,0.23078791991293598,0.17405688562264332,0.18886853320679614
K11,214.11,82.73,76.17,65.68,0.119,0.27029242866701153,0.27875393179610863,0.24968677569126596,0.28303149665373734
K12,193.0,81.12,74.29,64.32,0.119,0.18407609910147374,0.24372226215468804,0.24372226215468804,0.2640117802766065
K13,181.23,77.36,77.68,58.28,0.119,0.17043406160598878,0.18407609910147374,0.18906188806031787,0.19619384056455996
K14,200.47,78.76,77.67,62.2,0.119,0.22599937968142322,0.24968677569126596,0.2298682062943854,0.23975807427783033
K15,247.1,87.93,83.54,67.93,0.119,0.1910885341957928,0.18756639379618154,0.2145833700458334,0.20713179992800088
K16,211.69,82.15,77.42,63.92,0.119,0.20713179992800088,0.2358252169950608,0.15533284591823127,0.14897506077479547
K17,189.25,80.03,73.07,64.76,0.119,0.23376871405249441,0.22421501532001922,0.2745075617181131,0.27029242866701153
K18,214.58,80.87,79.95,65.48,0.119,0.24166461746428036,0.2537451007907685,0.1855440248415194,0.18205828375044622
K19,190.35,79.18,74.61,62.56,0.119,0.23770086414948496,0.25167927784236516,0.24372226215468804,0.25580241655666763
K20,199.79,79.74,77.22,65.91,0.119,0.2221622727046771,0.21084164976645944,0.27029242866701153,0.28938473796850345
L01,175.0,70.0,72.0,64.0,0.301,0.2775194911608485,0.3310565402586238,0.2401269130377985,0.30914813768900795
L02,161.0,65.0,66.0,69.0,0.301,0.2878956032683117,0.34507622806301147,0.30914813768900795,0.32828259043618313
L03,155.0,70.0,64.0,68.0,0.301,0.2142637164270957,0.3200212093438153,0.2788072984651209,0.34225239061154766
L04,190.0,75.0,71.0,71.0,0.301,0.26731233910197355,0.2997177096997695,0.2984390395344146,0.36511856408562754
L05,172.0,67.0,75.0,64.0,0.301,0.2775194911608485,0.34632239497751993,0.26855455506283343,0.3523642685599784
L06,194.0,71.0,73.0,70.0,0.301,0.2892296111775079,0.3680207697927015,0.29578758428503044,0.3491536720405237
L07,189.0,75.0,73.0,63.0,0.301,0.2736596284538108,0.35360699527332945,0.2622726270294729,0.31042074644596135
L08,186.0,69.0,77.0,67.0,0.301,0.29578758428503044,0.34350095284945664,0.26855455506283343,0.32551870053621174
